Домашняя работа 4: Часть 1,Запишите в данный столбец окончательный ответ через запятую,Запишите в данный столбец ОБЪЯСНЕНИЕ
Номер варианта,23,
Найдите наименьший и наибольший элементы множества X (универсальные границы) по данному отношению порядка.,наибольшйй элемент не существует наименьший элемент = 0,"x* называется наибольшим элементом множества X если х(x ∊ X) предшествует или равен х* но в этот случае нет наибольшего, т.к 18,19 и 20, нет элеметов, которые следуют 18, 19, 20 но не можем сравнивать 18 19 и 20. y называется наименьшим элементом множества X если у предшеслеует или равен х, поэтому наименьший элемент Х = 0"
Найдите максимальные и минимальные элементы множества X  по данному отношению порядка.,"Xmax = {18,19,20}
Xmin = {0}
","x(min) наз-ся минимальным эдементом множества Х если не существует х∊Х что х строго предшествует за х(min), т.к только 0 является минимальным элементом"
Найдите наибольший и наименьший элементы множества  В.,наибольшйй элемент не существует /наименьший элемент = 2,"x* называется наибольшим элементом множества B если х(x ∊ B) предшествует или равен х* но в этот случае нет наибольшего, т.к нет элеметов, которые следуют 11,15,16 но не можем сравнивать 11,15,16. x(*) называется наименьшим элементом множества B если x(*) предшеслеует или равен х(x ∊ B), поэтому наименьший элемент B = 2"
Найдите максимальные и минимальные элементы множества  В.,"Bmax = {15,16,17}
Bmin = {2}
","не существует x ∊ B что х  строго следует за 11,16,17 поэтому 11,15,16 является максимальными элеметами. не существует x ∊ B что х  сторого предшествует 2, поэтому 2 является минимальным элементом"
Найдите множество всех верхних граней  В  (верхний конус BD).,верхний конус В:{20},"Множество верхних граней элементов 2 и 15 = {15,20},множество верхних граней элементов 11 и 16 = {20}, поэтому множество всех верхних граней  В = {20}"
Найдите множество всех нижних граней  В  (нижний конус  BÑ).,"нижний конус В: {2,1,0}","Множество нижних граней элементов 2 и 15 = {2,1,0},множество верхних граней элементов 11 и 16 = {3,2,1,0}, поэтому множество всех верхних граней  В = {2,1,0}"
Найдите точную верхнюю грань  В  (sup B).,sup B = 20,"Точной верхней гранью или супремумом множества В называется наименьший элемент множества всех его верхних граней, поэтому sup B = 20"
Найдите точную нижнюю грань  В  (inf B).,inf B = 2,"inf - это наибольший элемент множества всех его нижних граней, поэтому inf B = 2"
" Сделайте  вывод, является ли  < В,     > решеткой?","< В, ≤ > не является решеткой","<В,≤ > не является решеткой, поскольку не каждая пара элементов имеет супремум и инфимум (как минимум элементы 9 и 16 имеют инфимум, но не имеют супремум)"
